Sigla,Name,Place
A-GÖ,"Benediktinerabtei, Musikarchiv",Göttweig
A-LIa,Oberösterreichisches Landesarchiv,Linz
A-Sd,Dom-Musikarchiv,Salzburg
A-Wgm,"Gesellschaft der Musikfreunde in Wien, Archiv",Wien
A-Whh,"Haus-, Hof- und Staatsarchiv",Wien
A-Wn,"Österreichische Nationalbibliothek, Musiksammlung",Wien
A-Wph,"Wiener Philharmoniker, Archiv und Bibliothek",Wien
A-Wst,Wienbibliothek im Rathaus,Wien
A-Wtm,Österreichisches Theatermuseum,Wien
CH-Bu,"Universitätsbibliothek, Musiksammlung",Basel
D-B,"Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, Musikabteilung",Berlin
D-Bga,"Geheimes Staatsarchiv, Stiftung Preußischer Kulturbesitz",Berlin
D-Bsa,"Sing-Akademie zu Berlin, Notenarchiv",Berlin
D-Bz,"Zentral- und Landesbibliothek, Historische Sammlungen",Berlin
D-Dl,Sächsische Landesbibliothek - Staats- und Universitätsbibliothek (SLUB),Dresden
D-DM,"Stadt- und Landesbibliothek, Zentralbibliothek",Dortmund
D-DS,"Universitäts- und Landesbibliothek, Musikabteilung",Darmstadt
D-DT,Lippische Landesbibliothek/ Theologische Bibliothek und Mediothek,Detmold
D-Hs,"Staats- und Universitätsbibliothek Carl von Ossietzky, Musiksammlung",Hamburg
D-KIu,"Universitätsbibliothek, Hauptabteilung",Kiel
D-KNa,Historisches Archiv der Stadt Köln,Köln
D-LEsm,"Stadtgeschichtliches Museum, Bibliothek",Leipzig
D-LEsta,"Sächsisches Staatsarchiv, Staatsarchiv Leipzig",Leipzig
D-LEu,"Universitätsbibliothek, ""Bibliotheca Albertina""",Leipzig
D-Mbs,Bayerische Staatsbibliothek,München
D-MZsch,"Schott Music GmbH & Co. KG, Verlagsarchiv",Mainz
D-WRgs,"Klassik Stiftung Weimar, Goethe- und Schiller-Archiv",Weimar
F-Pn,"Bibliothèque nationale de France, Département de la Musique",Paris
GB-Ob,Bodleian Library,Oxford
H-Bn,Országos Széchényi Könyvtár,Budapest
I-MOe,Biblioteca Estense,Modena
I-Trt,Archivio musicale dell’Orchestra Sinfonica Nazionale della RAI,Turin
PL-Kj,Biblioteka Jagiellońska,Krakau
S-Smf,Stiftelsen Musikkulturens främjande,Stockholm
US-NYfuld,James J. Fuld private collection,New York
US-NYp,"New York Public Library for the Performing Arts, Music Division",New York
US-NYpm,The Morgan Library & Museum,New York
US-Wc,"The Library of Congress, Music Division",Washington
WA,,
